name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
north bengal al ameen mission ,north bengal al ameen mission ,9733040098,NA,howrah ,School,#N/A,archive,Ringing,Follow-Up,
R. S. Multi Gym,R. S. Multi Gym,086498 23914,NA,QH62+G2X,Gym,#N/A,archive,Need to call back later,Follow-Up,11-04-2025
Amantran wholesale Nursery,Amantran wholesale Nursery,9874648092,NA,horinkhola ,Nursery,#N/A,follow-up,Customer need his website development with minimal price.,Follow-Up,11-04-2025
SPEED X,SPEED X,090382 07545,NA,"Kalyani, West Bengal",Second Hand Dealer,#N/A,archive,Customer is out of station right now. He will be back in 16th april. 17th april need to call back. He will fix the visit date,Follow-Up,17-04-2025
DRA???,DRA???,098317 92150,NA,"50B, Kailash Bose St",Organaization ,#N/A,follow-up,customer said he will  pay on 15 april  ,Follow-Up,15-04-2025
SARIKA NURSERY,SARIKA NURSERY,9593252169,NA,deganga,Nursery,#N/A,archive,Busy,Follow-Up,
SCISSORS SOUND HAIR AND BEAUTY FAMILY SALON,SCISSORS SOUND HAIR AND BEAUTY FAMILY SALON,097322 08080,NA,bonga ,Sallon,#N/A,archive,Ringing,Follow-Up,
MEDICURE MEDICINE,MEDICURE MEDICINE,084366 36609,NA,"Bangaon, West Bengal · 084366 36609",Pharmacy,#N/A,archive,Customer don’t need services,Follow-Up,
BANERJEE ENTERPRISE,BANERJEE ENTERPRISE,91630 26397,NA,Maa Sarada Rd,Health spa,#N/A,archive,Customer don’t need services right now,Follow-Up,
Adya Homeo Distributors,Adya Homeo Distributors,098311 00581,NA,"Shop No 130B, 1B, Bepin Behari Ganguly St ? 098311 00581",Pharmacy,#N/A,archive,Customer don’t need services right now,Follow-Up,
New Popular Pharmacy,New Popular Pharmacy,078659 80440,NA,"HABRAWV35LV Jessore Road, More, near Chongda · 078659 80440",Pharmacy,#N/A,archive,Customer don’t need the services,Follow-Up,
Kritan Pharmacy,Kritan Pharmacy,096471 04156,NA,"NA, Post Office Rd, near Hospital · 096471 04156",Pharmacy,#N/A,archive,Call forwarded,Follow-Up,
Ground Work Landscaping Company,Ground Work Landscaping Company,9830029135,NA,kolkata,Landscaping,#N/A,archive,Ringing,Follow-Up,
OM COMMUNICATION,OM COMMUNICATION,9830190540,NA,South DumDum,Event Management,Website,archive,Customer disconnected the call ,Follow-Up,
Falata Vidyasagar School,Falata Vidyasagar School,9932584875,NA,Howrah,School ,School Management Software,archive,Busy,Follow-Up,
New Ambition public school ,New Ambition public school ,6299041395,NA,"katihar,bihar",school,#N/A,archive,Busy,Follow-Up,
New holy mission school,New holy mission school,· 087574 35725,NA,"Azamnagar, Bihar",school,school management software,archive,Ringing,Follow-Up,
Modern sainik school,Modern sainik school,7992484495,NA,bihar,school ,school management software,archive,Ringing,Follow-Up,
I CONINFOSYS ,I CONINFOSYS ,9830185448/9051445900,NA,"SODEPUR,KOLKATA ",ENTERPRISE ,#N/A,archive,Already have the sarvices,Follow-Up,
Little star kids play school,Little star kids play school,9006118587,NA,bihar,SCHOOL,school management software,archive,Ringing,Follow-Up,
Junglepur High School,Junglepur High School,8927630821,NA,"baduria,junga pur ",SCHOOL,#N/A,archive,Customer have financial issue.he will discuss about it later.,Follow-Up,11-04-2025
DAFFO DIII ENGLISH MEDIUM SCHOOL ,DAFFO DIII ENGLISH MEDIUM SCHOOL ,9382225250,NA,"BAGJOLA,KOLSHUR MORE.",SCHOOL,#N/A,archive,Ringing,Follow-Up,
Maheshpur school ,Maheshpur school ,7407414296,NA,maheshpur ,school ,school mangment/website/android app,archive,Ringing,Follow-Up,
rajasthan marbel ,rajasthan marbel ,9775140855,NA,"matia,basirhat",marbel shop, static website/logo,archive,Customer need to follow back after april,Follow-Up,16-04-2025
