name,company_name,phone,email,address,landmark,website,industry_type,service_type,call_type,schedule_date,status,call_type
Bengal ,Bengal Traditional Nursery,9333227579,NA,"Harinkhola, Chakla",NA,NA,Nursury Plant,N/A,Warm Call,18-01-2025,Customer want physical visit by Marketing team,Warm Call
Green,Green Land Nursery,6297001910,NA,Land Nursury,NA,https://greenlandsnursery.com/,Nursury,N/A,Warm Call,28-12-2024,customer need to visit  her  shop ,Warm Call
A,A J BENGAL FARM,8368642823,NA,"Shohai Khanpur, Deganga",NA,NA,Nursury,N/A,Warm Call,NA,cm said he was visit our branch as soon as possible ,Warm Call
SARIKA,SARIKA NURSERY,9593252169,NA,NURSERY NURsuRY,NA,https://sarikanursery.com/,NURSERY,N/A,Warm Call,30-01-2025,CM WAS BUSY WRIGHT NOW AND  HE REQESTED CALL BACK ,Warm Call
Kiaan,Kiaan Nursery (kiaan's),9038823613,NA,Nursery (kiaan'ssus),NA,NA,NURSERY,N/A,Warm Call,13-12-2024,CM NEED TO CALL BACK 11.30 AM ,Warm Call
Imran,Imran Nursery,9832451076,NA,BURI HAT KHOLA ,NA,NA,NURSERY,N/A,Warm Call,NA,CUSTOMER NEED FIELD EXECUTIVE IN  HER OFFICE  AND DISCUS WITH  THEM,Warm Call
Nirala,Nirala Restaurent wine shop and bar,095640 97539,NA,JM2J+CQ2,NA,NA,Wine Shop,N/A,Warm Call,14-12-2024,CUSTOMER WANTS TO TALK ABOUT HIS ASHOKNAGAR BRANCH 22ND NOV BEFORE 6PM. NEED TO CALL BACK.,Warm Call
MALANCHA,MALANCHA BAZAR F.L OFF SHOP,097337 88237,NA,"BUS-STAND, 7441",NA,NA,Wine Shop,N/A,Warm Call,17-01-2025,CUSTOMER TOLD TO VISIT OFFICE VERY SOON.NEED TO CALL NEXT WEEK.,Warm Call
Shadow,Shadow The Unisex Gym,06295 822 616,NA,"Habra, West Bengal",NA,NA,Gym Center,N/A,Warm Call,10-12-2024,CUSTOMER NEED APPLICATION. CALL BACK AFTER SOME TIME.,Warm Call
Triple,Triple 1 fitness studio,098308 71707,NA,"235, Gopal Lal Tagore Rd",NA,NA,Gym Center,N/A,Warm Call,23-12-2024,OUT OF NETWORK,Warm Call
Sattva,Sattva Yoga Centre,090880 25226,NA,"Kolkata, West Bengal",NA,https://www.sattvayog.com/,Yoga Centre,N/A,Warm Call,NA,"CUSTOMER NEED TO MARKETING TEAM AFTER 16  DEC, CALL TO THE CUSTOMER THEN VISIT ",Warm Call
Tuhin,Tuhin Builders & Sanitary Mart,087592 10218,NA,Deganga Bhasila Haroa Road,NA,NA,Builders,N/A,Warm Call,25-11-2024,CUSTOMER WANTS A VISIT ON MONDAY MORNING.,Warm Call
