name,company_name,phone,email,address,landmark,website,industry_type,service_type,call_type,schedule_date,status,call_type
Best,"Best Commerce classes, Home tuition in Baguiati Rajarhat Newtown",098748 43333,NA,"Jardabagan, Hatiara Rd",NA,NA,Coaching Center,N/A,Warm Call,02-01-2025,CUSTOMER NEED DETAILS. WILL CALL BACK LATER.,Warm Call
K,K C DAS SALON & SPA | Best Hair & Skin Care Beauty Parlour in Chinsurah,089102 90603,NA,NA,NA,NA,Beauty Clinic,N/A,Warm Call,19-11-2024,CUSTOMER WANTS SUPERVISOR TO VISIT THEIR CLINIC.NEEDS A REMINDER CALL BEFORE VISIT.,Warm Call
Hamid,Hamid Polly Clinic,094346 20227,NA,NA,NA,NA,Beauty Clinic,N/A,Warm Call,03-01-2025,CUSTOMER WANTS WEBSITE BUT NOT NOW.IN JANUARY THEY NEED TO HAVE A CALL BACK.,Warm Call
Trimurti,Trimurti Tour And Travels,096799 04627,NA,NA,NA,NA,Travel Agency,N/A,Warm Call,06-01-2025,CUSTOMER SAID  HE NEED GOOGLE AD SERVICES ,Warm Call
Jayanti,Jayanti Travels,098514 01188,NA,"Stop, As79, Ashoknagar, Sherpur, Sanimandir Road",NA,NA,Travel Agency,N/A,Warm Call,03-01-2025,CUSTOMER NEED TO CALL BACK ,Warm Call
MOBILE,"MOBILE FIX SELL& SERVICE CENTER|""Was an amazing experience with mobile fix give a great service.""",074780 43610,NA,"NA Basirhat To Malancha Road, Bazar, RN Rd, near Super Market",NA,NA,Mobile Store,N/A,Warm Call,NA,CUSTOMER WANTS TO HAVE A FACE-TO-FACE MEETING. SHARE HIS ADDRESS.BEFORE MEETING HE NEEDS A REMINDER CALL.,Warm Call
Raj,Raj Watch,097326 15857,NA,"MV79+3HQ, Road Notun Bazar Ukil Para Basirhat Near State Bank of India, Habra - Basirhat Rd",NA,NA,Mobile Store,N/A,Warm Call,19-11-2024,CUSTOMER WANTS TO HAVE A MEETING TOMORROW ,Warm Call
Sri,Sri Kishna Mobile,074073 01004,NA,"SH 2 Basirhat, falguni hall west site",NA,NA,Mobile Store,N/A,Warm Call,03-01-2025,Customer need visit our office  3rd  jan and her need  website  and other services ,Warm Call
MAA,MAA MANASHA BASTRALAYA,080178 77273,NA,"Sree Nagar, 2nd Number St, near Bank Of India",NA,NA,Garments Shop,N/A,Warm Call,19-11-2024,\CUSTOMER NEED E COMERSE WEBSITE AND HE NEED A MEATTING IN 11 AM ,Warm Call
MAJUMDER,MAJUMDER TELECOM,082406 41241,NA,"51/C, Surjya Sen Sarani, near Bisharpara Yubosomaj",NA,NA,Mobile Store,N/A,Warm Call,02-12-2024,CUSTOMER WANTS A BRIEF ,Warm Call
Little,Little Angels' Convent,098309 35359,NA,"Shop No. 3, Krishna Nagar Road",NA,NA,School,N/A,Warm Call,NA,NEED TO CALL BACK NEXT WEEK 26TH NOV,Warm Call
London,London Kids Preschool Dumdum Kolkata,"Motijheel Avenue, P32-A",NA,098753 13259,NA,NA,School,N/A,Warm Call,06-01-2025,NEED TO CALL BACK AFTER 2PM,Warm Call
DumDum,DumDum Road Govt. Sponsored High School for Girls',"16, Dum Dum Rd",NA,098316 21048,NA,NA,School,N/A,Warm Call,05-12-2024,NEED TO CALL BACK AFTER 2PM,Warm Call
Chitrak,"Chitrak fitness parlour|""I loose 6 kg in a month..most cheapest gym in belgharia..chitrakda is best""",070443 30106,NA,"North Dumdum, West Bengal",NA,NA,Gym,N/A,Warm Call,04-01-2025,CUSTOMER SAID TO CALL BACK THE GYM IS CLOSED NOW.,Warm Call
Muscle,"Muscle World ""The Fitness Club""|""Perfect reasonable fitness centre with more den everything equipments...""",098368 82729,NA,"Floor, 11, Santosh Park, Krishi Gopal More, above Kidzee, opp. Allahabad",NA,NA,Gym,N/A,Warm Call,12-12-2024,"CUSTOMER NEEDS CRM SOFTWARE. NEED TO CALL BACK 10TH DEC, AFTER 5PM.",Warm Call
SIMRAN,SIMRAN BIKE POINT ,9732590006,NA,,NA,NA,scond hand bike showroom,N/A,Warm Call,18-11-2024, marketing team visit and customer need to call back 16 nov and he need website ,Warm Call
bijid,bijid motor cycle showroom,9732606383,NA,,NA,NA,second hand bike show room ,N/A,Warm Call,30-11-2024,customer need to call back and need web site ,Warm Call
mahir,mahir auto plaza,9143180678,NA,,NA,NA,second hand bike show room ,N/A,Warm Call,16-11-2024,marketing team visit to the customer and said he need website ,Warm Call
LAKSHMI,LAKSHMI AUTO ,9732765070,NA,,NA,NA,SECOND HAND BIKE AEALER ,N/A,Warm Call,NA,CUSTOMER NEED TO CALL BACK 16 NOV AND NEED WEB SITE ,Warm Call
Helping,Helping Hands,090383 34810,NA,"Kolkata, West Bengal",NA,NA,NGO,N/A,Warm Call,02-01-2025,CUSTOMER NEED TO CALL BACK 2 DEC ,Warm Call
Sajdaa,Sajdaa NGO,098315 29882,NA,Temporarily closed · ,NA,NA,NGO,N/A,Warm Call,NA,customer  said please visit her office some days later and he upgrade her website ,Warm Call
Kunal,"Kunal Bike Point And Washing Centre|""Good service
My father's bike got repaired so nicely""",097489 96952,NA,"Kolkata, West Bengal",NA,NA,Second hand bike showroom,N/A,Warm Call,NA,customer need to visit her office 22 dec ,Warm Call
H,"H M ENTERPRISE|""They give awesome service and a good range of EVs which they have.""",098318 81545,NA,"Kolkata, West Bengal",NA,NA,EV Dealers in west bengal,N/A,Warm Call,02-01-2025,CUSTOMER NEED TO CALL BACK 22 NOV  12 AM ,Warm Call
Das,Das Motors,098047 11110,NA,"Kolkata, West Bengal",NA,NA,Second hand bike showroom,N/A,Warm Call,NA,CUSTOMER NEED TO CALL  BACK 22 NOV ,Warm Call
Kunal,Kunal Bike Point And Washing Centre,097489 96952,NA,"Kolkata, West Bengal",NA,NA,Second hand bike showroom,N/A,Warm Call,20-11-2024,CUSTOMER SAID VISIT  HER SHOP 20 NOV 5 PM  ,Warm Call
Tarama,Tarama bike point second hand bike buy and sell,070011 58982,NA,"Math Para, Ranaghat, West Bengal",NA,NA,Second hand bike showroom,N/A,Warm Call,20-01-2025,CUSTOMER NEED TO CALL BACK 22 NOV 3 PM ,Warm Call
Mizam,Mizam car ,7980231566,NA,"Kolkata, West Bengal",NA,NA,Auto mobile ,N/A,Warm Call,11-01-2025,marketing team visit and discuss the customer and he need website. and need to call back 18 nov ,Warm Call
Jamuna,Jamuna Cafe Cum Restaurant,082408 54506,NA,Mathrangi More,NA,NA,Restaurant cum bar,N/A,Warm Call,22-01-2025,CUSTOMER NEED DIGITAL MARKETING SERVICE AND OUTLETS. NEED TO CALL BACK ON 22ND JAN.,Warm Call
Charmz,Charmz Restaurant cum Bar, 096817 22297,NA,"Nilganj, Kolkata, West Bengal",NA,NA,Restaurant cum bar,N/A,Warm Call,09-01-2025,CUSTOMER NEED WBSITE. SAID TO CALL BACK ON FIRST WEEK OF JAN. SAID TO SHARE DETAILS NOW.,Warm Call
Upodayam,Upodayam Foundation,090089 66388,NA,"Apartment, 4th floor, 4C, Paras, 1/1, Chakraberia Road N",NA,NA,Environmental organization,N/A,Warm Call,23-11-2024,CUSTOMER WANTS DIGITAL MARKETING SERVICE. HE WANTS TO TALK WITH THE SUPERVISORS.NEED TO CALL BACK ON 23RD NOV AT AFTERNOON ,Warm Call
DRA???,DRA???,098317 92150,NA,"50B, Kailash Bose St",NA,NA,Environmental organization,N/A,Warm Call,30-12-2024,CUSTOMER TOLD TO SHARE DETAILS.NEED TO CALL BACK NEXT WEEK.,Warm Call
Lavish,Lavish Looks,090073 65170,NA,"3+ years in business · Howrah, West Bengal",NA,NA,Salons & Spa,N/A,Warm Call,02-12-2024,CUSTOMER WANTS US TO VISIT HER SALON FOR ADVERTISEMENT DISCUSSION. NEED TO CALL ON 27TH NOV.,Warm Call
K,K C DAS SALON & SPA | Best Hair & Skin Care Beauty Parlour in Chinsurah,089102 90603,NA,"7+ years in business · Chinsurah, West Bengal",NA,NA,Salons & Spa,N/A,Warm Call,26-11-2024,CUSTOMER WANTS VISIT ON HER SALON. NEXT WEEK.,Warm Call
MUKESH,MUKESH SPA,090622 16066,NA,"Kolkata, West Bengal",NA,NA,Salons & Spa,N/A,Warm Call,02-12-2024,CUSTOMER NEED TO CALL BACK 2 DEC AND HE NEED WEBSITE ,Warm Call
First,"First Smile Dental Care | Top Dental Clinic in New Town | Best Dental Surgeon | Smile Design, Root Canal, Dental Implant",093323 91355,NA,"BE 63, Street No. 135",NA,NA,Dental Practices in kolkata,N/A,Warm Call,26-11-2024,CUSTOMER WANTS SALES TEAM TO VISIT HER CLINIC. ON 26TH DEC. WANTS TO KNOW ABOUT DIGITAL MARKETING PACKAGES. NEED TO CALL BACK FOR REMINDER.,Warm Call
Dr,Dr. Shome's Orthodontic and Facio Dental Clinic/ Best Dental Clinic In Kankurgachi/Kolkata.,062920 40606,NA,"P203, Ramakrishna Samadhi Road, Kankurgachi, opposite Swami Swarupananda's Ashram",NA,NA,Dental Practices in kolkata,N/A,Warm Call,21-12-2024,CUSTOMER SAID TO SHARE DEMO. WANTS TO SEE OTHER WORKS. NEED TO CALL BACK 26TH DEC.,Warm Call
RS,RS TAX SOLUTIONS,087776 33148,NA,"H/143, P.S South Port, 1st Floor Room no.2, 49/5, Karl Marx Sarani Rd, opposite Jnan Bhaskar Vidalaya",NA,NA,Professional Service ( Lawyer Accountant ) Kolkata,N/A,Warm Call,02-04-2025,CUSTOMER SAID TO SHARE DETAILS NOW.,Warm Call
Ali,Ali & Associates,079802 81970,NA,"Howrah, West Bengal",NA,NA,Professional Service ( Lawyer Accountant ) Kolkata,N/A,Warm Call,NA,CUSTOMER WANTS DIGITAL MARKETING AND WEBSITE SERVICES. NEED A VISIT OPN MONDAY 2 DEC. BEFORE MEETING HE NEEDS A REMINDER CALL.,Warm Call
Taxmation,Taxmation Services LLP,086172 38332,NA,"Ground Floor, 22/A, Anupama Apartment, Nabin Chandra Das Rd",NA,NA,Professional Service ( Lawyer Accountant ) Kolkata,N/A,Warm Call,11-12-2024,CUSTOMER WANTS DIGITAL MARKETING SERVICES.SAID TO CALL BACK ON MONDAY 2ND DEC AT 12PM.,Warm Call
davaindia,davaindia GENERIC PHARMACY,096749 90708,NA,"Railway Jn Platform No 5, Shop No 6, Maitri Apartment Vidyasagar Road, Barasat, near Barasat · 096749 90708",NA,NA,Phermacy in kolkata,N/A,Warm Call,02-01-2025,CUSTOMER NEED TO  VISIT  HER SHOP 30 NOV ,Warm Call
SR,"SR SOLAR|""I recommend you all to work from this company""",070440 93444,NA,"Kolkata, West Bengal",NA,NA,Solar Energy Provider in Kolkata,N/A,Warm Call,NA,CUSTOMER NEED WEBSITE AND NEED MEATING 12 DEC ,Warm Call
Skillectron,"Skillectron Systems Pvt Ltd|""Good company for solar installation.""",089024 99626,NA,"Baranagar, West Bengal",NA,NA,Solar Energy Provider in Kolkata,N/A,Warm Call,03-01-2025,CUSTOMER NEED GOOGLE ADS AND FACE BOOK ADS AND HE NEED MEATING ,Warm Call
Tales,Tales of Joy | pet & bird shop in Kolkata | Picnic Garden,075959 36132,NA,"Upstairs of Monginis Cake Shop, 185, Picnic Garden Rd, near 39 Bus Stand",NA,NA,Pet Supply Store in Kolkata,N/A,Warm Call,10-01-2025,CUSTOMER SAID TO SHARE THE DETAILS. AFTER CHECKING IT HE WILL LET US KNOW. ,Warm Call
Park,Park Auto Emporium (Autoform Brand Store),082769 64313,NA,"N/49, Jessore Road, Banamalipur, Barasat, North 24 Parganas, Kolkata 700124, opposite Medplus medicine shop",NA,NA,Auto parts retailers in kolkata,N/A,Warm Call,16-12-2024,customer need to call back 2 dec and he need physical meeting and her need website ,Warm Call
Friends,Friends Auto Enterprises,098312 70139,NA,"187 B, Acharya Prafulla Chandra Rd",NA,NA,Auto parts retailers in kolkata,N/A,Warm Call,05-12-2024,customer said please visit her shop  as soon as possible ,Warm Call
????,???? ??????????? ???????,094333 79192,NA,"Khalpar Rd, near P.N. Das college",NA,NA,Sports Academies near me,N/A,Warm Call,04-01-2025,CUSTOMER SAID TO VISIT HIS ACCADEMY ON 30TH NOV AFTER 3PM.GOOGLE ADS & WEBSITE. ,Warm Call
Ground,Ground Work Landscaping Company,033 4013 7000,NA,"Air Conditioned Market, 5th Floor, 46, Gariahat Rd",NA,NA,Landscaping Services in Kolkata,N/A,Warm Call,17-12-2024,CUSTOMER SAID TO CALL BACK ON TUESDAY.,Warm Call
PRONAY,PRONAY SARKAR,086979 04802,NA,"5+ years in business · Howrah, West Bengal",NA,NA,Plumbing and Electrical Services in Kolkata,N/A,Warm Call,NA,BUSY,Warm Call
The,The Oriental Seminary,098361 53115,NA,"363, Rabindra Sarani",NA,NA,Private School in kolkata,N/A,Warm Call,07-01-2025,customer need visit 18 dec ,Warm Call
Barisha,Barisha High School,033 2447 3190,NA,"133, Diamond Harbour Rd",NA,NA,Private School in kolkata,N/A,Warm Call,19-12-2024,customer need physically visit her school next week ,Warm Call
Dr,Dr. Rajnee Garg Kesri - Tarot Card Reader & Numerologist,083358 37666,NA,"Kolkata, West Bengal",NA,NA,Astrology & Spirituality,N/A,Warm Call,03-01-2025,CUSTOMER NEED DIGITAL MARKETING AND SEO SERVICES AND NEED TO CALL BACK 9 DEC ,Warm Call
A,A.K. Medical Hall,098305 38474,NA,"Jc7V+Rw7 Dhankol Gote 1, Hatiara Rd · 098305 38474",NA,NA,Pharmecy in Rajarhat,N/A,Warm Call,03-01-2025,CUSTOMER SAID TO CALL BACK AFTER 12PM.,Warm Call
Raj,Raj Pharmacy,098301 78097,NA,"D/A,4/12 · 098301 78097",NA,NA,Pharmecy in Rajarhat,N/A,Warm Call,NA,CUSTOMER SAID TO CALL BACK AFTER 5PM.,Warm Call
NEWTOWN,NEWTOWN PHARMACY,078725 78138,NA,"18 TALA, GREENFIELD HEIGHTS, Shop No. 2FS DJ/5, 1ST FLOOR, GALAXY · 078725 78138",NA,NA,Pharmacy in New town,N/A,Warm Call,19-12-2024,CUSTOMER NEED SEO SERVICE AND WEBSITE.SAID TO VISIT ON 19TH DEC AT ANYTIME.,Warm Call
Majumdar,Majumdar Medical Stores & Polyclinic (Sodpur_Natagarh),090386 81845,NA,"Sodpur Natagarh. A.M. Road Kadamtalla Bazar. Nirmola Apartment, beside SBI ATM · 090386 81845",NA,NA,Pharmacy in New town,N/A,Warm Call,NA,CUSTOMER SAID TO SHARE RATE CHART OF WHATS APP BULK MASSAGING.,Warm Call
Right,Right Dose Pharmacy,079807 72217,NA,"Ground Floor, 362, Akandakeshari, Shapoorji Road · 079807 72217",NA,NA,Pharmacy in New town,N/A,Warm Call,23-12-2024,RINGING,Warm Call
Health,Health point pharmacy,098361 10786,NA,"Kolkata, West Bengal · 098361 10786",NA,NA,Pharmacy in New town,N/A,Warm Call,NA,BUSY,Warm Call
Barasat,Barasat Homeo Hall,098300 18462,NA,Swami Vivekananda Rd · 098300 18462,NA,NA,Pharmacy in Barasat,N/A,Warm Call,20-12-2024,CUSTOMER SAID TO VISIT HIS PHARMACY ON 20TH DEC FRIDAY ON SECOND HALF.NEED DIGITAL MARKETING.,Warm Call
Rajesh,Rajesh Medical & Company,076050 07257,NA,"Shop No 7, Barasat Knc Road, Railway, Barasat Station Rd, near Barasat · 076050 07257",NA,NA,Pharmacy in Barasat,N/A,Warm Call,NA,RINGING,Warm Call
MAA,MAA PHARMACY,085369 65459,NA,"PFFM+HQ7, Krishna Nagar Road Amdanga · 085369 65459",NA,NA,Pharmacy in Barasat,N/A,Warm Call,19-12-2024,CUSTOMER SAID TO VISIT THEIR PHARMACY AROUND 12:30PM.,Warm Call
P,P N J ENTERPRISE,091539 49692,NA,"Basirhat Bichalihat More, 01, Itinda Rd · 091539 49692",NA,NA,Pharmacy in Bashirhat,N/A,Warm Call,03-01-2025,CUSTOMER SAID TO CALL BACK ON JAN FIRST WEEK.NEED ONLINE DOOR TO DOOR DELIVERY SOFTWARE.,Warm Call
Roy,Roy Homoeo Hall,098314 14617,NA,"Kolkata, West Bengal · 098314 14617",NA,NA,Pharmacy in Baranagar,N/A,Warm Call,18-12-2024,CUSTOMER NEED DOCTOR BOOKING APP. HE SAID TO VISIT THEIR PHARMACY WITH DEMOSTRATION.,Warm Call
BATOLAKSHMI,BATOLAKSHMI PHARMACY,098306 31218,NA,"43/1, Maharaja Nand Kumar Rd · 098306 31218",NA,NA,Pharmacy in Baranagar,N/A,Warm Call,NA,CUSTOMER SAID HE NEEDE HOMEOPATHIC PHARMACY SOFTWARE.SAID TO CALL BACK BETWEEN 2PM.,Warm Call
LIFE,LIFE CARE,098311 77819,NA,Shop No 1 · 098311 77819,NA,NA,Pharmacy in Baranagar,N/A,Warm Call,18-12-2024,"CUSTOMER SAID TO VISIT THEIR PHARMECY ON WEDNESDAY 18TH DEC, AFTER 12PM.NEED DIGITAL MARKETING AND WEBSITE.",Warm Call
Gita,Gita Medicine Corner,094335 12417,NA,"B-17/176, near I.T.I More · 094335 12417",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,04-01-2025,BUSY,Warm Call
Happy,Happy Life Pharmacy,089108 69757,NA,bazar · 089108 69757,NA,NA,Pharmacy in Kalyani,N/A,Warm Call,NA,CUSTOMER NEED PRESCRIPTION GENERATE SOFTWARE.NEED TO CALL BACK AFTER 2PM.,Warm Call
Dev,Dev medical,070035 42964,NA,"B-18, 199 · 070035 42964",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,02-01-2025,BUSY,Warm Call
Life,Life Guard Pharmacy,098362 82780,NA,"B-2/78, Congress Road · 098362 82780",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,NA,CUSTOMER NEED 13TH DEC VISIT AT 12PM.NEED DIGITAL MARKETING SERVICE.,Warm Call
K,K Medical,062914 93245,NA,"Kalyani Station Rd, near Kalyani Railway Station · 062914 93245",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,13-12-2024,CUSTOMER NEED ONLINE SERVICE DIGITAL MARKETING.NEED VISIT ON 13TH DEC.,Warm Call
PASHUPATI,PASHUPATI DRUG CENTER,074495 31425,NA,"A9/155, Kalyani Station Rd, near Marti Mission Mondir · 074495 31425",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,27-01-2025,CUSTOMER SAID TO VISIT ON THEIR PHARMECY. HE DONT WANT TO DEAL IN PHONE CONVO.,Warm Call
Elite,Elite Medicare,084209 96656,NA,"S), Ground Floor, Room, No. 1, A-9X/4 · 084209 96656",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,20-12-2024,NEED TIME,Warm Call
Evangel,Evangel Public School,089276 34591,NA,RQJM+VR2,NA,NA,Private School in Boangaon,N/A,Warm Call,27-01-2025,Customer need to call  back 26 dec her need school management software ,Warm Call
Nivedita,Nivedita Shishu Tirtha,099321 25519,NA,"Gobardanga Khantura, Station Rd E",NA,NA,Private School in Boangaon,N/A,Warm Call,27-12-2024,Customer need to call back 26 dec and fast call then he fixing a date ,Warm Call
Old,Old School Educational Institute,084205 91740,NA,"kolkata, West Bengal",NA,NA,Private School in Newtown,N/A,Warm Call,21-12-2024,customer need to call back 21 dec and he need meeting in google meat  ,Warm Call
Subhajit,Subhajit Educare,074393 92746,NA,"BE 29/7, Baguiati Deshbandhunagar Road,(Nearest Landmark Pratibeshi Club",NA,NA,Private School in Rajarhat,N/A,Warm Call,02-01-2025,customer need physically visit and need to call back him  30 dec ,Warm Call
S,"S.P.S. JANABADI SIKSHAN SANSTHAN, GSF Hindi Primary School",090072 14201,NA,"4/1 Kathal Bagan, 5, Nil Ratan Adhikari Rd",NA,NA,Private School in Rajarhat,N/A,Warm Call,23-12-2024,Customer need physically visit 18 dec ,Warm Call
??LEARNING,"??LEARNING PATHWAY ?? Find Best Home Tutor ??Online Tutor ????? Private Tuition Provider for ??Class K-12. CBSE, ICSE.",090074 00223,NA,"GD FLOOR, Block A2, FORTUNE SQUARE BLOCK 1",NA,NA,Private School in Rajarhat,N/A,Warm Call,21-12-2024,customer said her need app development services  and call back 11 am ,Warm Call
ASSURE,ASSURE SPECIAL SCHOOL AND THEREPY CENTER,079800 14320,NA,"72/A Port Blair Line, Santi bazer Spencer Super market, Barrackpore Chiriamore",NA,NA,Private School in Barrackpore,N/A,Warm Call,02-01-2025,customer need physically visit  2 jan her need digital marketing and software  ,Warm Call
Barrackpore,Barrackpore A. B. Model High School (H.S),033 2592 0141,NA,Rasamoy Biswas Rd,NA,NA,Private School in Barrackpore,N/A,Warm Call,26-12-2024,customer  said please visit her school ,Warm Call
Barrackpore,Barrackpore Senate public school,033 2593 1971,NA,"Barrackpore, West Bengal",NA,NA,Private Schoolin kalyani Highway,N/A,Warm Call,21-12-2024,customer need to call back 20 dec ,Warm Call
Medicine,Medicine India Chemist,094331 24599,NA,"MFR8+V2X, Badu Rd · 094331 24599",NA,NA,Pharmacy in Madhayamgram,N/A,Warm Call,20-12-2024,RINGING,Warm Call
The,The Health Pharmacy,098745 38694,NA,"Rubar Factory, Kazi Nazrul Islam Sarani · 098745 38694",NA,NA,Pharmacy in Madhayamgram,N/A,Warm Call,02-01-2025,CUSTOMER SAID TO CALL BACK ON 23RD DEC.HE WILL KNOW ABOUT THE DETAILS OF DIGITAL MARKETING AND  DOCTOR BOOKING APP.,Warm Call
