name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
Radha,Radha Gobindo fruit and flower nursery, 096093 38524,NA,"Alipurduar, West Bengal",· Plant nursery,NA,follow-up,Need to call back on 6th feb after 12pm.,Pending,1/18/2025
ARUMITA,ARUMITA NURSERY,085090 96330,NA,"Goagaon, Goalpokhar, West Bengal",· Plant nursery,NA,follow-up,Not required,Pending,2/1/2025
PUSHPARGHYA,PUSHPARGHYA PLANTS NURSERY, 079087 05001,NA,"Kolkata, West Bengal",· Wholesale plant nursery,NA,follow-up,Ringing,Pending,1/21/2025
Dey,Dey Nursery,096471 71930,NA,"Maheshtala, West Bengal",· Wholesale plant nursery,NA,follow-up,Ringing,Pending,1/21/2025
SOUVAGYA,SOUVAGYA NURSERY, 073194 26380,NA,"Kolkata, West Bengal",· Plant nursery,NA,follow-up,Incoming call is not available,Pending,1/21/2025
Puspayan,Puspayan Nursery, 086299 47959,NA,"Dhukuria, P.O. New Chumta, Dagapur",· Plant nursery,NA,follow-up,Ringing,Pending,1/21/2025
Sree,Sree Guru Wholesale Nursery, 06295 453 104,NA,Sevoke Rd,· Wholesale plant nursery,NA,follow-up,"Need to call back on 10th feb, after call he will fix a visit date in their nursery.",Pending,1/22/2025
Adannaya,Adannaya Nursery, 095634 84669,NA,"Iskcon Rd, beside Manokamna Hospital",· Plant nursery,NA,follow-up,Don’t have requirement right now. He will contact us later.,Pending,1/31/2025
Avijit,Avijit Nursery, 096094 96759,NA,MCWG+Q6M,· Plant nursery,NA,follow-up,Customer don’t need services.,Pending,2/1/2025
Maa,Maa Nursery, 070472 28991,NA,"Purulia, West Bengal",· Plant nursery,NA,follow-up,Need to call back on 6th feb.,Pending,1/22/2025
DURGA,DURGA GREEN GARDEN ??, 082072 43255,NA,"Bongabari, West Bengal",· Plant nursery,NA,follow-up,Ringing,Pending,1/22/2025
Water,Water Lily and Lotus Nursery, 090649 11408,NA,Nimtala - Barabazar Connector,· Plant nursery,NA,follow-up,Ringing,Pending,1/24/2025
Farhan,Farhan Wholesale Nursery, 06295 526 765,NA,"GP, Shyamsundarpur Patna Mysora",· Wholesale plant nursery,NA,follow-up,NA,Pending,1/24/2025
PYANABI,PYANABI, 086707 76199,NA,"203, 2, Girish Ghosh Rd",· Plant nursery,NA,follow-up,Already have the services.,Pending,1/25/2025
Apple,Apple Ber Nursery, 085149 81670,NA,"28/1 GT Road &9, Tarachand Ganguly St",· Wholesale plant nursery,NA,follow-up,NA,Pending,1/25/2025
Planetree,Planetree Plant Shop, 090648 56464,NA,"21/A, Agrasain St",· Plant nursery,NA,follow-up,the shop is closed now.,Pending,1/25/2025
Unique,Unique green nursery, 086178 95583,NA,Sri Aurobinda Rd,· Plant nursery,NA,follow-up,Busy,Pending,1/25/2025
Elite,Elite Green Plant, 089728 18581,NA,"J8RQ+C7R, Sapuipara Main Rd",· Wholesale plant nursery,NA,follow-up,Already have the services.,Pending,2/1/2025
Chara,Chara Gach Nursery, 062963 27305,NA,H7VM+3VG,· Plant nursery,NA,follow-up,Need website. Need to call back on 8th feb,Pending,1/25/2025
Plant,Plant & Pot Nursery, 093810 53430,NA,"1st floor, 84/1, Jelia Para Ln",· Plant nursery,NA,follow-up,customer said he have some personal issue. He need to solve it first. Need to call back on last week of feb,Pending,1/25/2025
Unmesh,Unmesh Nursery And K. G. School, 099328 18996,NA,"59, Bijoy Kumar Mukherjee Rd",· School,NA,follow-up,,Pending,1/25/2025
ARJUNA,ARJUNA GREEN PLANT,094757 19467,NA,P44Q+R6G,· Plant nursery,NA,follow-up,Call received but no response,Pending,1/20/2025
??,?? ???? ???????? ???? ??????????????? | Bird Shop | puppy dog pet shop | Aquarium Shop | plant nursery shop Maslandapur, 070031 69819,NA,"Hili, West Bengal",· Wholesale plant nursery,NA,follow-up,Busy,Pending,1/31/2025
Mohomaya,Mohomaya, 090078 48537,NA,Sahapur,· Wholesale plant nursery,NA,follow-up,Busy ,Pending,1/21/2025
Mina,Mina Flower House, 098329 26510,NA,J97P+922,· Plant nursery,NA,follow-up,Customer is not intrested.,Pending,1/21/2025
Green,Green Corridor Nursery World, 062971 52100,NA,"Diamond Harbour, West Bengal",· Plant nursery,NA,follow-up,Customer Need visit on next week before visit he need a call.,Pending,1/21/2025
Bala,Bala Stores, 087587 68230,NA,"Khastika, West Bengal",· Plant nursery,NA,follow-up,Ringing,Pending,1/21/2025
