name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
FLY INDIA HR,FLY INDIA HR CONSULTANCY,092391 31412,NA,"5+ years in business · Kolkata, West Bengal",CONSULTANCY,NA,warm-call,customer need to call back  on march  her need webste ,Pending,3/1/2025
Jai Maa Kali,Jai Maa Kali Nursery,098305 74665,NA,"5 No. Garia Bus Stand, 5 Number Bus Stand, Raja Subodh Chandra Mullick Road, Kanungo Park, Garia",Nursery,NA,hot-call,customer need to call  back  13  feb her need website// customer need  visit on 16 jan ,Pending,16-02-025
infocus india public,infocus india public school  ,9903353036,NA,qhx3+w5v,School,NA,warm-call,customer  need to call back  end off feb  ,Pending,2/27/2025
DRA,DRA???,098317 92150,NA,"50B, Kailash Bose St",Organaization ,NA,hot-call,CUSTOMER NEED TO CALL BACK  ON 15 FEB ,Pending,2/15/2025
DumDum Road Govt. Sponsored High School for,DumDum Road Govt. Sponsored High School for Girls',098316 21048,NA,"16, Dum Dum Rd",School,NA,hot-call,HER NEED SCHOOL SOFTWAER NEXT YEAR ,Pending,28/2/2025
Trimurti Tour And,Trimurti Tour And Travels,096799 04627,NA,NA,Travel Agency ,NA,hot-call,NEED FOLLWOUP ,Pending,2/16/2025
Jayanti,Jayanti Travels,098514 01188,NA,"Stop, As79, Ashoknagar, Sherpur, Sanimandir Road",Travel Agency ,NA,warm-call,NEED FOLLWOUP ,Pending,2/16/2025
SARIKA,SARIKA NURSERY,09593252169,NA,deganga,Nursery,NA,hot-call,NEED FOLLWOUP ,Pending,2/16/2025
Green,Green Apple,8582838731,NA,"Stop, As79, Ashoknagar, Sherpur, Sanimandir Road",Restaurant,NA,hot-call,NEED FOLLWOUP ,Pending,3/1/2025
B-Uniqe,B-Uniqe Family ,859712689,NA,bonga ,Sallon,NA,warm-call,visit on 15 feb sat,Pending,2/15/2025
SCISSORS SOUND HAIR AND BEAUTY FAMILY,SCISSORS SOUND HAIR AND BEAUTY FAMILY SALON,097322 08080,NA,bonga ,Sallon,NA,warm-call,NEED FOLLWOUP  customer need visit ,Pending,2/15/2025
rahat enter,rahat enter prise ,9735326992,NA,"MMXW+7RQ, Berachampa Baduria Rd, Kaukepara, West Benga",Second Hand Dealer,NA,warm-call,customer need visit her shop 16 feb ,Pending,2/17/2025
PUSHPARGHYA PLANTS,PUSHPARGHYA PLANTS NURSERY,7908705001,NA,"Vill Ganti, PO Thakurnagar, Dist 24 Pgs. N, pin- 743287, Thakurnagar, West Bengal 743287",Nursery,NA,hot-call,customer need website ,Pending,2/17/2025
Jyotsna,Jyotsna Medical,074789 84876,NA,"2RXG+986, Rate Para Rd Â· 074789 84876",Pharmacy,NA,hot-call,Customer need website and digital marketing he said please visit our executive in her shop then he maked a payment ,Pending,2/15/2025
Sarkar,Sarkar Medical,099326 79327,NA,"2Rwh+X23, 83, Bangur Ave Â· 099326 79327",Pharmacy,NA,hot-call,Customer need website and digital marketing he said please visit our executive in her shop then he maked a payment ,Pending,2/15/2025
MEDICURE,MEDICURE MEDICINE,084366 36609,NA,"Bangaon, West Bengal Â· 084366 36609",Pharmacy,NA,warm-call,customer need visit her shop his need some services,Pending,2/15/2025
Biswas,Biswas Clinic,093323 18511,NA,"Bongaon Pakipara, Chakdaha - Bongaon Rd Â· 093323 18511",Pharmacy,NA,hot-call,customer said her need website and digital  marketing and please visit her shop tommorow ,Pending,2/15/2025
Biswajit ,Biswajit  Ngo,9153263745,NA,"Basirhat, West Bengal",Ngo,NA,warm-call,customer want wesite for his Ngo need to call on 17 feb ,Pending,2/17/2025
BANERJEE,BANERJEE ENTERPRISE,91630 26397,NA,Maa Sarada Rd,Health spa,NA,warm-call,need website & digital marketing services. Visit on next week.,Pending,2/17/2025
MONDAL,MONDAL ENTERPRISE,91237 54185,NA,"Nabapally Circular Rd, near Tarakeswar Sweet Shop",Book store,NA,warm-call,Digital marketing. Tuesday visit.,Pending,2/17/2025
Barasat Homeo,Barasat Homeo Hall,098300 18462,NA,Swami Vivekananda Rd · 098300 18462,Pharmacy in Barasat,NA,warm-call,customer  need visit her shop 17 feb ,Pending,2/17/2025
Manthan Pet Care - Best pet clinic in,Manthan Pet Care - Best pet clinic in Kolkata,070446 41996,NA,NA,NA,NA,warm-call,Said to visit his shop. After 2pm. Website & digital marketing .,Pending,2/17/2025
SANJIVANEE,SANJIVANEE PHARMACY,099035 00108,NA,"Siddha Town, Shop 12, SIDDHA TOWN ARCADE, SRCM Rd · 099035 00108",Pharmecy in Rajarhat,NA,warm-call,Customer said please visit her shop ,Pending,28/2/2025
Jamuna,Jamuna medical,070011 76634,NA,"11, 46Kalicharan ghosh road · 070011 76634",Pharmacy in Baranagar,NA,warm-call,customer need e- commerce website call back on march  25 ,Pending,3/25/2025
Adya Homeo,Adya Homeo Distributors,098311 00581,NA,"Shop No 130B, 1B, Bepin Behari Ganguly St · 098311 00581",Pharmacy,NA,warm-call,Customer need visit his shop in next weak,Pending,2/24/2025
Sikder,Sikder Pharmacy,090646 47919,NA,"Rmr6+68M, 88, Habra Â· 090646 47919",Pharmacy,NA,warm-call,customer need visit his shop 21  feb ,Pending,2/21/2025
Arogya Doctor Clinic ( Remady,Arogya Doctor Clinic ( Remady Pharmacy),078658 54517,NA,Jirat Rd Â· 078658 54517,Pharmacy,NA,warm-call,customer need visit his shop 21  feb ,Pending,2/21/2025
New Popular,New Popular Pharmacy,078659 80440,NA,"HABRAWV35LV Jessore Road, More, near Chongda Â· 078659 80440",Pharmacy,NA,warm-call,customer need visit his shop 21  feb ,Pending,2/21/2025
Habra Kamini Kumar Girls High,Habra Kamini Kumar Girls High School,03216 237 116,NA,"RJRX+QJH, Jirat Rd",School,NA,warm-call,customer need visit his shop 21  feb ,Pending,2/21/2025
The Amrita,The Amrita Pharmacy,089181 22606,NA,Banipur PGBT Rd Â· 089181 22606,Pharmacy,NA,warm-call,customer need visit his shop 21  feb ,Pending,2/21/2025
Rajlaxmi,Rajlaxmi Enterprise,099328 25091,NA,"Habra Arina Market Near ICIC Bank ATM PS, Jessore Rd Â· 099328 25091",Pharmacy,NA,warm-call,customer need visit his shop 21  feb ,Pending,2/21/2025
Kritan,Kritan Pharmacy,096471 04156,NA,"NA, Post Office Rd, near Hospital Â· 096471 04156",Pharmacy,NA,warm-call,customer need visit his shop 21  feb ,Pending,2/21/2025
