name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
sahajan,sahajan jamadar,919734068216,NA,kolkata,Interior,NA,hot-call,customer need website ,Pending,2/15/2025
Sujit,Sujit Das,918013164106,NA,kolkata,Content Writer ,NA,hot-call,call back  on 11 feb his need digital marketing//customer needto call back ,Pending,3/1/2025
sainik,sainik canteen,919129139009,NA,bihar,Groccery Store,NA,hot-call,call back  ,Pending,2/16/2025
Ground Work Landscaping,Ground Work Landscaping Company,9830029135,NA,kolkata,Landscaping,NA,hot-call,9830029135 - miss sonali roy chowudhury  call back on 26 feb,Pending,2/26/2025
ecofriend,ecofriend nursery ,9547797608,NA,"edga, prithiba,road ",Nursery,NA,hot-call,customer need website but some days later ,Pending,2/26/2025
Pet Neverland Shop LLP|"They provide me 20% discount over all accessories and,Pet Neverland Shop LLP|"They provide me 20% discount over all accessories and products.",098304 54867,NA,kolkata,Pet Shop,NA,hot-call,customer need website ,Pending,28/2/2025
Traditional,Traditional Nursery,09832288739,NA,"chakla,",Nursery,NA,hot-call,customer need website ,Pending,2/27/2025
dum dum govt,dum dum govt school,098316 21048,NA,"dum,dum ",School,NA,hot-call,customer need school management softwer  but some day later ,Pending,1/3/2026
Preeti Cloth,Preeti Cloth Store,094343 64790,NA,"Basirhat, West Bengal",Garment Shop,NA,hot-call,customer need digital marketing and need website ,Pending,2/15/2025
north bengal al ameen,north bengal al ameen mission ,9733040098,NA,howrah ,School,NA,warm-call,customer need school management softwer  but some day later ,Pending,3/16/2025
Bailey's School of Early,Bailey's School of Early Learning,085849 83212,NA,"Howrah, West Bengal",School,NA,warm-call,customer need digital marketing and website ,Pending,2/27/2025
Wonder Play School,Wonder Play School Howrah,90511 42359,NA,NA,School,NA,hot-call,Said to call back on feb 2nd week.,Pending,28/2/2025
Radha Gobindo fruit and flower,Radha Gobindo fruit and flower nursery,· 096093 38524,NA,"primary road, behind of Monitara, near High-school",Nursery,NA,hot-call,customer need website and his need phisicaly visit ,Pending,2/16/2025
Kolkata Public,Kolkata Public Academy,090628 06248,NA,"Raipur, Bakhrahat, west Bengal",School,NA,warm-call,customer need visit her school ,Pending,28/2/2025
Stepping Stone High,Stepping Stone High School,033 2672 6934,NA,"Kolkata, West Bengal",School,NA,hot-call,Said to present the school management proposal.,Pending,28/2/2025
GREEN TREE,GREEN TREE NURSERY, 89260 10101,NA," Harinkhola, Kolkata, West Bengal 743424",Nursery,NA,hot-call,Customer said visit our office with in fiew days ,Pending,28/2/2025
ananda kg,ananda kg school ,7432051710,NA,Ashoknagar ,School,NA,warm-call,call back on  march  last ,Pending,28/2/2025
shree bharati high,shree bharati high school,9331866252,NA,"JC5V+JR9, 55/ 4 Helabattala, Road, Hatiara Extention, Hatiara, Rajarhat, Kolkata, West Bengal 700157",School,NA,hot-call,customer need to call  back  on 15 feb  ,Pending,2/15/2025
disney,disney school,9051543595,NA,"B12/31, B 12, Central evanue (east, Kalyani, West Bengal 741235",School,NA,warm-call,follwoup to the customer ,Pending,28/2/2025
Sandip Banerjee,Sandip Banerjee Classes,098046 41406,NA,"Aarin Tower, NH-34",School,NA,warm-call,9831977139  follwoup to the customer ,Pending,28/2/2025
SUNFORD INTERNATIONAL SCHOOL|"Good school in,SUNFORD INTERNATIONAL SCHOOL|"Good school in Goalpokher",097350 34172,NA,Sahapur,School,NA,hot-call,customer need to call  back  ,Pending,28/2/2025
Saptasur Music School || Music school in Howrah|"The music school's community is warm and,Saptasur Music School || Music school in Howrah|"The music school's community is warm and welcoming.",099033 55190,NA,"1st Floor, Dipanjali Apartment, 36/7, Ashutosh Ghosh Rd",School,NA,hot-call,customer need video editig softwaer ,Pending,28/2/2025
Bailey's School of Early,Bailey's School of Early Learning,085849 83212,NA,"1st floor, Sabitri apartment, Chunabhati, near Narayana multispeciality hospital",School,NA,warm-call,customer need to call back on feb last ,Pending,2/27/2025
Bargodagodar Krishna Smriti,Bargodagodar Krishna Smriti Vidyaniketan,094343 60416,NA,"Bar Godagudar, West Bengal",School,NA,warm-call,nedd phisical visit his school ,Pending,2/27/2025
New Calcutta Public,New Calcutta Public School,098364 35765,NA,"Paharirchak, Bonvera, Narghat, Contai - Nandakumar Rd",School,NA,warm-call,nedd phisical visit his school ,Pending,28/2/2025
Amantran wholesale,Amantran wholesale Nursery,09874648092,NA,horinkhola ,Nursery,NA,hot-call,customer need e- commerce website call back on march  ,Pending,3/15/2025
2nd Heart,2nd Heart Yoga,062906 57643,NA,"Rajpur Sonarpur, Kolkata, West Bengal",Yoga Center,NA,warm-call,customer need website and call back on  feb  last  ,Pending,2/27/2025
Saksham Hobby,Saksham Hobby Classes,7003113789,NA,"Kolkata, West Bengal",School,NA,hot-call,Need 360 degree Photography,Pending,28/2/2025
Edulove,Edulove institu...,091237 35967,NA,Saradapally Main Rd,Academy,NA,warm-call,Contact them on March,Pending,3/10/2025
SP SIDDHI,SP SIDDHI CONSU...,098310 59040,NA,"Baidyabati, West Bengal",CONSULTANCY,NA,warm-call,follwoup to the customer (roni Sir),Pending,28/2/2025
R. S. Multi,R. S. Multi Gym,086498 23914,NA,QH62+G2X,Gym,NA,warm-call,call back 14 feb  ,Pending,2/14/2025
10:31 AM,G D Pharmacy Ne...,081001 14100,NA,"Plot no. DA/101, Ground Floor, Shop, 01, Street Number 278 ",Pharmacy,NA,warm-call,follwoup to the customer (roni Sir),Pending,28/2/2025
NEW LIVIA,NEW LIVIA TELESHOP,082402 57809,NA,beliaghata,Mobile Shop,NA,warm-call,customer need website and call back on  feb  last  ,Pending,2/27/2025
Afsar,Afsar Medipoint,070035 32928,NA,"Kanchrapara, West Bengal Â· 070035 32928",Pharmacy,NA,warm-call,inventory billing software. Need to call back on 2pm.he will contact us after discussing about it./13th feb need to call back.//ringing,Pending,28/2/2025
Biswas,Biswas Medical,070033 25574,NA,"01, Colonel KP Gupta Rd, near Shubhashree Ladge Â· 070033 25574",Pharmacy,NA,hot-call,he need website but after opened new pharmacy. Said to contact him on july ,Pending,6/1/2025
Saha pharmacy jhappukur main,Saha pharmacy jhappukur main road,033 3597 6670,NA,"Bandel, West Bengal Â· 033 3597 6670",Pharmacy,NA,warm-call,Website. Need to call back on 14th feb.,Pending,2/14/2025
M R,M R Medicare,062903 71335,NA,Malancha Rd Â· 062903 71335,Pharmacy,NA,warm-call,"Need to call back on 13th feb.Software, Website, Seo service.//customer need visit 14 feb ",Pending,2/14/2025
Puspita,Puspita Nursery,08017334413,NA,Nursery Nursury,Nursery,NA,hot-call,folwoup to the customer ,Pending,28/2/2025
Suraksha,Suraksha pharmacy,097335 74501,NA,bus stand,Pharmacy,NA,hot-call,customer need multiple services in march  ,Pending,3/1/2025
Acharya,Acharya Enterprise,096356 14363,NA,"Bhasila, DEGANGA, Station Road",Pharmacy,NA,hot-call,customer need multiple services in march  ,Pending,3/1/2025
SPEED,SPEED X,090382 07545,NA,"Kalyani, West Bengal",Second Hand Dealer,NA,hot-call,customer need visit ,Pending,2/14/2025
Lokenath,Lokenath Medical,089022 96132,NA,"B K Paul, 98, BK Paul Ave · 089022 96132",Pharmacy,NA,hot-call,customer need to call back on june month her need multiple services ,Pending,5/1/2025
